name,name_original,amenity,shop,tourism,@lat,@lon
Shoe Repair,Shoe Repair,,florist,,24.8847462,66.9562731
General Store,General Store,,convenience,,24.884649,66.956171
Stitch Shop,Stitch Shop,,clothes,,24.8849167,66.9561764
Gift Shop,Gift Shop,,gift,,24.8849556,66.9561549
Cycle Repair Shop,Cycle Repair Shop,,bicycle,,24.8849897,66.9560905
General Store,General Store,,convenience,,24.8849313,66.9559698
National Bank,National Bank,bank,,,24.8541963,67.0241398
Mottas,Mottas,,supermarket,,24.8269207,67.03357
Jeddah Foods,Jeddah Foods,fast_food,,,24.8271318,67.0335766
Tipu Burger,Tipu Burger,fast_food,,,24.827242,67.0332106
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8888641,66.9828594
Seafront BBQ,Seafront BBQ,restaurant,,,24.8424475,66.9953222
Habib Public School,Habib Public School,school,,,24.8414609,67.0201145
Carefour Super Market,Carefour Super Market,,supermarket,,24.8019067,67.03066
Eastern Autos,Eastern Autos,,car,,24.9125789,67.126503
Al Jeddah Medical Store,Al Jeddah Medical Store,pharmacy,,,24.9156407,66.9657386
Cafe Karachi,Cafe Karachi,cafe,,,24.8744292,67.0301985
Emerald Mall & Tower,Emerald Mall & Tower,,mall,,24.8217046,67.0340335
The Executive Lawn,The Executive Lawn,community_centre,,,24.9119263,67.1106531
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.9455671,67.0771094
Agha Khan Hospital for Women,Agha Khan Hospital for Women,hospital,,,24.9265842,67.0646827
Ziauddin Hospital North Nazimabad,Ziauddin Hospital North Nazimabad,hospital,,,24.9239276,67.0447127
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8316244,67.0785166
Gizri Graveyard,گزری قبرستان,grave_yard,,,24.8179854,67.0563529
Sadequain Grammer School,Sadequain Grammer School,school,,,24.9277784,67.1314781
Kaiser Restaurant,Kaiser Restaurant,restaurant,,,24.8554939,67.0095
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8655472,67.0775606
Pakistan Shipowner's Government College,Pakistan Shipowner's Government College,college,,,24.9488618,67.0409069
Urdu Bazaar,Urdu Bazaar,marketplace,,,24.8589014,67.0171826
Saad Car Airconditioning,Saad Car Airconditioning,,car_repair,,24.8627709,67.0584435
Qudsiya Mosque,Qudsiya Mosque,place_of_worship,,,24.9129005,67.0422088
Hascol Petrol Station,Hascol Petrol Station,fuel,,,24.929999,67.13988
Pearl Continental Hotel,Pearl Continental Hotel,,,hotel,24.8476272,67.0259569
Zam Zam Publisher,Zam Zam Publisher,,books,,24.8592494,67.0190238
Meezan Bank Limited,Meezan Bank Limited,atm,,,24.906664,66.9973634
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8764826,67.1008233
Meezan Bank Limited SITE Branch,Meezan Bank Limited SITE Branch,bank,,,24.9102459,67.0109264
The Bank of Khyber SITE Branch,The Bank of Khyber SITE Branch,bank,,,24.911412,67.0126172
Chase Up,Chase Up,,supermarket,,24.9170417,67.0965584
Askari Commercial Bank,Askari Commercial Bank,bank,,,24.8849116,67.0694349
Soneri Bank,سونیری بینک,atm,,,24.8383157,67.0491089
Karachi Memon Community Centre,Karachi Memon Community Centre,community_centre,,,24.8694535,67.0745141
Standard Chartered,اسٹینڈرڈ چارٹرڈ,bank,,,24.8270175,67.0288592
Keamari Head Post Office,کیماڑی ہیڈ پوسٹ آفس,post_office,,,24.8241811,66.9785198
Mustafa,Mustafa,place_of_worship,,,24.947291,67.0263132
Police Station Clifton,Police Station Clifton,police,,,24.8136295,67.0290316
Noor,Noor,place_of_worship,,,24.9303104,67.0444489
Jama Cloth Market,Jama Cloth Market,marketplace,,,24.8584177,67.0140248
Chase Value Cenre,Chase Value Cenre,,supermarket,,24.9417082,67.0485755
Masjid Siddiq e Akbar,Masjid Siddiq e Akbar,place_of_worship,,,24.9488832,67.0415095
Jama Masjid Shafi,Jama Masjid Shafi,place_of_worship,,,24.9465858,67.0401301
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8543642,67.028436
Khairabad Tea Shop - Irani Cafe,Khairabad Tea Shop - Irani Cafe,cafe,,,24.8507088,67.0185501
Total,ٹوٹل,fuel,,,24.8530825,67.022541
Mehdi Lawn,Mehdi Lawn,community_centre,,,24.9499517,67.0534289
Saima Pari Mall,Saima Pari Mall,,mall,,24.9386061,67.0444542
Pakistan Post,Pakistan Post,post_office,,,24.9354814,67.0419741
Usman Ghani Masjid,مسجد عثمان غنی,place_of_worship,,,24.914814,67.1248935
786 Medical Store,786 Medical Store,pharmacy,,,24.9132759,67.1241947
Asalam Store,Asalam Store,,yes,,24.9134732,67.1240247
Shanzay Travels,Shanzay Travels,,travel_agency,,24.9127201,67.1257132
MCB Bank,ایم سی بی بینک,bank,,,24.9117043,67.1246341
Meezan Bank,میزان بینک,bank,,,24.9141559,67.1273435
Rizwan,Rizwan,place_of_worship,,,24.9326513,67.078983
Masjid Owais Qarni,Masjid Owais Qarni,place_of_worship,,,24.9100622,67.1094569
United King Bakery,United King Bakery,,bakery,,24.9079946,67.1100721
Hot N Spicy Potatoes & hot N Sweet Corn,Hot N Spicy Potatoes & hot N Sweet Corn,restaurant,,,24.8842184,67.0571409
Pakistan Pakwan House,Pakistan Pakwan House,restaurant,,,24.9330613,67.0524883
Blue Mount CNG,Blue Mount CNG,fuel,,,24.9382687,67.1494914
Total,ٹوٹل,fuel,,,24.9377221,67.1461603
Roshni Sweets/Bakers,Roshni Sweets/Bakers,,bakery,,24.9382223,67.1491081
Food Finder,Food Finder,fast_food,,,24.9381347,67.1485966
Dr Essa Clinical Laboratory,Dr Essa Clinical Laboratory,hospital,,,24.9381578,67.1487787
Bank Alfalah,بینک الفلاح,atm,,,24.9377289,67.1499709
Bank Dubai Islamic,Bank Dubai Islamic,atm,,,24.9376442,67.1494054
JS Bank,جے ایس بینک,atm,,,24.9373337,67.1469936
Ufone Franchise,Ufone Franchise,,mobile_phone,,24.9373666,67.1473477
Al Sheikh Hotel,Al Sheikh Hotel,restaurant,,,24.9380427,67.1481362
Al Rehman Hospital,Al Rehman Hospital,hospital,,,24.9388891,67.1493164
Jamia Hamdia Rizvia,Jamia Hamdia Rizvia,place_of_worship,,,24.9495128,67.1317088
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9339483,67.1289529
HBL Pakistan,ایچ بی ایل پاکستان,atm,,,24.9341557,67.1289546
Zam Zam Super Store,Zam Zam Super Store,,supermarket,,24.9349934,67.1352614
Habib Metropolitan Bank,Habib Metropolitan Bank,atm,,,24.934919,67.1349459
Soneri Bank Ltd,Soneri Bank Ltd,atm,,,24.9361849,67.1385442
Police Station (Gulistan e Jauhar),Police Station (Gulistan e Jauhar),police,,,24.923289,67.1474984
Samama Shoping Mall,Samama Shoping Mall,,mall,,24.9281526,67.1117903
City Vision,City Vision,,mall,,24.9291014,67.1140165
Khaas Meat - Mosamiat,Khaas Meat - Mosamiat,,butcher,,24.9360112,67.1376597
boys hostel NED,boys hostel NED,,,hotel,24.9315402,67.1131181
Continental Bakery,Continental Bakery,,bakery,,24.9206491,67.0865218
Mochi Mor,Mochi Mor,,,viewpoint,24.9205207,67.0865314
Hussaini Govt Boys Secondary school,Hussaini Govt Boys Secondary school,school,,,24.9121579,67.0292216
pemra,pemra,,,artwork,24.8274375,67.0272134
Shining Star School,Shining Star School,school,,,24.9379048,67.0575017
Kiran Achedemy,Kiran Achedemy,school,,,24.9378422,67.0579773
Taimuria Police Station,Taimuria Police Station,police,,,24.9378311,67.0563836
Hyderi Market Police Station,Hyderi Market Police Station,police,,,24.9376468,67.0562252
Shahnawaz Workshop,Shahnawaz Workshop,,car_repair,,24.9376556,67.056984
Sialkot Lassi,Sialkot Lassi,,beverages,,24.8806423,67.0703088
The Barber Shop,The Barber Shop,,chemist,,24.8796911,67.0871372
Saint Patricks High School,Saint Patricks High School,school,,,24.8626109,67.0344266
Sattar Bukhsh,Sattar Bukhsh,cafe,,,24.8095658,67.0316976
Peshawari Chapli Kabab,Peshawari Chapli Kabab,restaurant,,,24.8853352,67.1401332
Chase,Chase,,supermarket,,24.877619,67.0687601
Meezan bank,Meezan bank,bank,,,24.7813424,67.0571428
Gole Market Jama,Gole Market Jama,place_of_worship,,,24.9143911,67.0235315
Jinnah Sindh Medical University,Jinnah Sindh Medical University,university,,,24.8509513,67.0454223
Oommen rose garden,Oommen rose garden,,,hostel,24.8743876,67.0463015
Aliabad Jamatkhana,Aliabad Jamatkhana,community_centre,,,24.9210522,67.0641943
Qabail Masjid/ Qabail Colony,Qabail Masjid/ Qabail Colony,community_centre,,,24.9383308,67.06097
Al Rayyan Hotel,Al Rayyan Hotel,,,hotel,24.8586305,67.02409
High-Q Pharmacy,High-Q Pharmacy,pharmacy,,,24.877175,67.0944634
Nanak Wada,Nanak Wada,,supermarket,,24.8574901,67.0062963
Usama Chicken,Usama Chicken,hunting_stand,,,24.9110767,67.124399
I4U,I4U,,electronics,,24.9184005,67.0908533
Jamia Masjid Madina,Jamia Masjid Madina,place_of_worship,,,24.9473206,67.04809
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9476186,67.0511781
Zia uddin Hospital (OPD),Zia uddin Hospital (OPD),hospital,,,24.9243463,67.0469145
Azeem Public School,Azeem Public School,school,,,24.9307368,67.0378233
SSUET Parking,SSUET Parking,parking_space,,,24.9163492,67.0935375
Soomra PaTex,Soomra PaTex,,furniture,,24.8669417,67.0107579
Taj Banquet,Taj Banquet,community_centre,,,24.9285722,67.034397
Babar CNG,Babar CNG,fuel,,,24.9417365,67.0350556
Police Station Shahrah e Noor Jahan,Police Station Shahrah e Noor Jahan,police,,,24.9424363,67.0351801
Samba bank- Tauheed Commercial,Samba bank- Tauheed Commercial,bank,,,24.8069721,67.0384182
Nimco,Nimco,,bakery,,24.8271275,67.0361002
MCB bank,MCB bank,bank,,,24.8494436,66.9883547
Bank al Habib,Bank al Habib,bank,,,24.7927141,67.0680187
Shell,شیل,fuel,,,24.8295907,67.052452
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8162153,67.0211255
Red Riding Hood Bakery Badar,Red Riding Hood Bakery Badar,,bakery,,24.8008009,67.0460887
Subway,سب وے,fast_food,,,24.7961255,67.045213
Kentucky Fried Chicken,کینٹکی فرائیڈ چکن,fast_food,,,24.7998917,67.0472312
MCB Bank,ایم سی بی بینک,bank,,,24.8005521,67.0464085
Chase up,Chase up,,convenience,,24.8050945,67.0265294
Daily dubai resturant,Daily dubai resturant,restaurant,,,24.7971902,67.0443407
Pizza Hut,پیزا ہٹ,fast_food,,,24.7963713,67.0448818
Summit bank,Summit bank,bank,,,24.7980067,67.0453316
Bank Al Habib,بينک الحبيب,bank,,,24.8005958,67.0463398
Samba bank,Samba bank,bank,,,24.7968232,67.0510806
Standard Chartered,اسٹینڈرڈ چارٹرڈ,bank,,,24.8071094,67.0381844
Askari bank,Askari bank,bank,,,24.8494073,66.987562
DHA Masjid,ڈی ایچ اے مسجد,place_of_worship,,,24.7857286,67.0667689
BankIslami,بینک اسلامی,bank,,,24.8494305,66.9881192
Meezan bank,Meezan bank,bank,,,24.7863348,67.0575124
Marvi sweets and bakers,Marvi sweets and bakers,,bakery,,24.7966466,67.0451444
Dhaba,ڈھابہ,cafe,,,24.7802032,67.0550618
Port Grand,Port Grand,,,attraction,24.8444411,66.9921908
Taj Medical Center,Taj Medical Center,hospital,,,24.9252601,67.0914869
Golimar Market,Golimar Market,,hardware,,24.9011071,67.0304545
China Castle - Bahadurabad,China Castle - Bahadurabad,restaurant,,,24.8837861,67.064997
Bank AL Habib,Bank AL Habib,atm,,,24.9425924,67.0715406
shayan e sheereen,shayan e sheereen,,bakery,,24.9221589,67.1032411
Afghan Bukhari Restaurant,افغان بخاری ریستوران,restaurant,,,24.8231505,66.9787094
used garments,used garments,,clothes,,24.8566523,67.008381
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8229961,66.9785697
Askari bank,Askari bank,bank,,,24.8508495,67.017451
Habib Metro Islamic Bank- I.I.Chundrigar,Habib Metro Islamic Bank- I.I.Chundrigar,bank,,,24.8506337,67.017628
Allied bank,Allied bank,bank,,,24.8507727,67.0167898
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8495506,66.9897404
Bank Alfalah,بینک الفلاح,bank,,,24.8576313,67.0275976
UBL - Clifton 4,UBL - Clifton 4,bank,,,24.8026937,67.0309886
Muslim Commercial Bank,Muslim Commercial Bank,bank,,,24.8577419,67.0275222
shakoor & co,shakoor & co,,outdoor,,24.9032641,66.9768186
MCB Bank,ایم سی بی بینک,bank,,,24.8604758,67.0276455
Shell Petrol Pump & Service Station,Shell Petrol Pump & Service Station,fuel,,,24.8484866,67.0220011
Silkbank,Silkbank,bank,,,24.8634211,67.0247774
Bank al habib,Bank al habib,bank,,,24.8603289,67.0274632
Pakistan Post,Pakistan Post,post_office,,,24.8598823,67.0265322
Askari Bank,عسکری بینک,bank,,,24.8634136,67.0245601
Meezan Bank,میزان بینک,bank,,,24.8582455,67.0296248
Shell,شیل,fuel,,,24.8455567,66.9967964
Total,ٹوٹل,fuel,,,24.8415811,67.1332299
Shaukat Khanum Memorial Cancer Hospital-Phase 7,Shaukat Khanum Memorial Cancer Hospital-Phase 7,hospital,,,24.8253838,67.0771614
Services Mess Navy,Services Mess Navy,,,guest_house,24.851222,67.0305037
Gandhara Nissan,Gandhara Nissan,,car,,24.8145231,67.0292224
Madina Masjid,Madina Masjid,community_centre,,,24.8851936,67.0832984
Adbul Kids University,Adbul Kids University,university,,,24.8795828,67.1466366
Karachi Kids University,Karachi Kids University,university,,,24.8793111,67.1417513
Usman Grammar School,Usman Grammar School,school,,,24.8767705,67.1381434
Sir Syed School,Sir Syed School,school,,,24.8849292,67.1321762
Iqra Computer Training Trust,Iqra Computer Training Trust,university,,,24.8825088,67.1407445
Food Finder,Food Finder,fast_food,,,24.9381026,67.1484225
National Food,National Food,fast_food,,,24.910717,66.9755315
Diamond Jewellers.,Diamond Jewellers.,,jewelry,,24.8275971,67.0380676
Diamond Jewellers.,Diamond Jewellers.,,jewelry,,24.8564425,67.0281052
Kababjees,Kababjees,restaurant,,,24.883502,67.060199
Akhtar Eye Hospital,Akhtar Eye Hospital,hospital,,,24.9225212,67.0922155
Programmers Girls School,Programmers Girls School,school,,,24.9212275,67.0927407
Baji Jan Pakwan,Baji Jan Pakwan,restaurant,,,24.9219465,67.0924821
Hayaat ul Islam,Hayaat ul Islam,place_of_worship,,,24.9183082,67.094928
Sadiqain Hall,Sadiqain Hall,community_centre,,,24.9180122,67.096202
Mami Home,مامی ہوم,,,guest_house,24.8945614,67.0164599
Masjid Akhiyar,Masjid Akhiyar,place_of_worship,,,24.9120972,67.0898547
Medhi Manji Lab,Medhi Manji Lab,pharmacy,,,24.9235867,67.0901395
Al Nisa Flower,Al Nisa Flower,community_centre,,,24.9244067,67.0920769
Bank Al Habib,بينک الحبيب,bank,,,24.9239767,67.092332
Meezan Bank,میزان بینک,bank,,,24.9238206,67.0924634
National Bank,National Bank,bank,,,24.9236606,67.0926071
Bank Dubai Islami,Bank Dubai Islami,bank,,,24.9232366,67.0928832
Total,ٹوٹل,fuel,,,24.9203678,67.0996706
Sindh Bank,سندھ بینک,bank,,,24.9234372,67.0919997
Habib Metro Bank,Habib Metro Bank,bank,,,24.9213858,67.0936929
Imam ibn Timia,Imam ibn Timia,place_of_worship,,,24.9208519,67.0994721
CNG Station,CNG Station,fuel,,,24.9255964,67.0909384
Aamna,Aamna,place_of_worship,,,24.9174492,67.0906679
Al Nasar,Al Nasar,,medical_supply,,24.922205,67.0884281
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.922433,67.0887393
Meezan Bank Gulshan Block-2 Branch,Meezan Bank Gulshan Block-2 Branch,bank,,,24.9226624,67.0890468
MCB Gulshan Chowrangi Branch,MCB Gulshan Chowrangi Branch,bank,,,24.9228216,67.0892741
Ashraf Al Madaris,Ashraf Al Madaris,place_of_worship,,,24.9229969,67.0886187
KDA Market,KDA Market,,supermarket,,24.9267958,67.0944384
Trinity Girls College,Trinity Girls College,college,,,24.8522297,67.0245585
DGTR,DGTR,,,guest_house,24.846669,66.9923923
PAF Hospital Faisal,PAF Hospital Faisal,clinic,,,24.8901597,67.1159743
Sultan Majid,Sultan Majid,place_of_worship,,,24.9056232,67.1184028
Orchid Lawn,Orchid Lawn,community_centre,,,24.9191423,67.0723404
Haroon CNG & Car Workshop,Haroon CNG & Car Workshop,,car_repair,,24.8596962,67.0472425
bashee hm,bashee hm,,butcher,,24.7973601,67.0587862
Qadri Pan Shop,Qadri Pan Shop,,pan,,24.8603006,67.0137888
KNS School of Business Studies,KNS School of Business Studies,school,,,24.8810025,67.0647664
Dr. Asad,Dr. Asad,doctors,,,24.8241878,67.0331436
Darussalam Publishers,Darussalam Publishers,,books,,24.8776178,67.0633884
shar shah kabari bazar engine,shar shah kabari bazar engine,,car_parts,,24.8830591,66.9965339
Attock Petrol Pump,Attock Petrol Pump,fuel,,,24.8870175,67.1439626
green city hotel,green city hotel,,,hotel,24.8592656,67.0259012
Ghufran Masjid,Ghufran Masjid,place_of_worship,,,24.9341741,67.0813034
Imroz Press,Imroz Press,community_centre,,,24.8521342,67.0155961
Tahir Avenue,Tahir Avenue,community_centre,,,24.8520348,67.0156266
The Smart School,The Smart School,school,,,24.909998,67.115869
"Civil hospital, Karachi","Civil hospital, Karachi",hospital,,,24.8594455,67.0116782
NIBD Hospital,NIBD Hospital,hospital,,,24.8976232,67.0783887
SHAZZ super market,SHAZZ super market,,supermarket,,24.8972931,67.0790983
Impressive computer academy,Impressive computer academy,school,,,24.9333127,67.1326355
ahmed ka rent wala ghar,ahmed ka rent wala ghar,hunting_stand,,,24.9067103,67.0723649
Muneeba View Apartment,Muneeba View Apartment,,,apartment,24.9072024,67.0710915
burns road,burns road,fast_food,,,24.8568754,67.0168321
Petiwala Tajraan Kutub,Petiwala Tajraan Kutub,,books,,24.854303,67.0133004
Hardware Market,ہارڈ ویئر مارکیٹ,,supermarket,,24.8624693,67.0141657
Imtiaz Supermarket Qayyumabad,Imtiaz Supermarket Qayyumabad,,supermarket,,24.8310814,67.0802962
Dow International Medical College,Dow International Medical College,college,,,24.9445105,67.1387174
Electronic market,Electronic market,,supermarket,,24.8598967,67.0250374
Askari Banquet & Lawns,Askari Banquet & Lawns,community_centre,,,24.8926485,67.0628249
Techno city,Techno city,,mall,,24.8505797,67.007712
Mak Coaching,Mak Coaching,school,,,24.9353012,67.0541305
CNG Station,CNG Station,fuel,,,24.9356418,67.0543537
Hashmat Memorial School,Hashmat Memorial School,school,,,24.9366858,67.1037768
Jama Masjid Abu Al-Alai,Jama Masjid Abu Al-Alai,place_of_worship,,,24.9381294,67.1050095
Al Arabia,Al Arabia,place_of_worship,,,24.940037,67.1023012
sm public academy,sm public academy,school,,,24.9391749,67.101345
Merit n Merit,Merit n Merit,school,,,24.9380454,67.1022312
Vikor enterprises (pvt) ltd.,Vikor enterprises (pvt) ltd.,,,artwork,24.8873754,66.9716123
Tea Spot,Tea Spot,cafe,,,24.949777,67.0503533
Nani House,Nani House,,,guest_house,24.8347149,67.1486661
Super Fire Works,Super Fire Works,,toys,,24.8676476,67.0297828
Carnation banquet Hall,Carnation banquet Hall,community_centre,,,24.8653983,67.07933
Sage banquet Hall,Sage banquet Hall,community_centre,,,24.8654997,67.0795962
Cafe Pyala,Cafe Pyala,pub,,,24.9457368,67.0677358
Virtual University Of Pakistan,Virtual University Of Pakistan,school,,,24.9415205,67.0458485
Gohar Pride,Gohar Pride,,,artwork,24.9207484,67.1332806
Total,ٹوٹل,fuel,,,24.8786376,67.022407
Pakistan Post Office,Pakistan Post Office,post_office,,,24.8787848,67.0225934
Platinium Jamat Khana,Platinium Jamat Khana,place_of_worship,,,24.8845256,67.0260792
Gole Market,Gole Market,,supermarket,,24.9145251,67.0242732
Filli Tea cafe,Filli Tea cafe,cafe,,,24.8112003,67.0173907
Faysal Bank Clifton Block 2,Faysal Bank Clifton Block 2,bank,,,24.8112773,67.0171841
Habib Metropolitian Bank,Habib Metropolitian Bank,bank,,,24.8112572,67.0172899
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8105834,67.0180544
Bank Alfalah,بینک الفلاح,bank,,,24.8106299,67.0180759
NIB,NIB,bank,,,24.8108233,67.0181551
China Town Resturant,China Town Resturant,restaurant,,,24.8108892,67.0180925
Dua Resturant,Dua Resturant,restaurant,,,24.8101359,67.0176332
Bolan Resturant,Bolan Resturant,restaurant,,,24.8099367,67.0185689
Jade Garden Resturant,Jade Garden Resturant,restaurant,,,24.8120472,67.016747
Karachi Broast,Karachi Broast,fast_food,,,24.8118216,67.0172906
Shell Express,Shell Express,fuel,,,24.8157667,67.0187935
Koyla Cafe,Koyla Cafe,cafe,,,24.8159652,67.018168
Anjarwala Bakers,Anjarwala Bakers,,bakery,,24.8146493,67.0209243
Liberty Book Store,Liberty Book Store,,books,,24.8157006,67.0215569
BMI Physio,BMI Physio,doctors,,,24.8179543,67.0232691
Red Apple,Red Apple,fast_food,,,24.8116171,67.0184787
MCB Bank,ایم سی بی بینک,bank,,,24.8146725,67.0198198
Park Towers Food Court,Park Towers Food Court,food_court,,,24.8142489,67.0276502
