name,name_original,amenity,shop,tourism,@lat,@lon,final_category
Qadri Pan Shop,Qadri Pan Shop,,pan,,24.8603006,67.0137888,Other / Unspecified
KNS School of Business Studies,KNS School of Business Studies,school,,,24.8810025,67.0647664,Education
Dr. Asad,Dr. Asad,doctors,,,24.8241878,67.0331436,Healthcare
Darussalam Publishers,Darussalam Publishers,,books,,24.8776178,67.0633884,Shopping & Retail
shar shah kabari bazar engine,shar shah kabari bazar engine,,car_parts,,24.8830591,66.9965339,Transport & Vehicles
Attock Petrol Pump,Attock Petrol Pump,fuel,,,24.8870175,67.1439626,Transport & Vehicles
green city hotel,green city hotel,,,hotel,24.8592656,67.0259012,Accommodation
Ghufran Masjid,Ghufran Masjid,place_of_worship,,,24.9341741,67.0813034,Religious & Community
Imroz Press,Imroz Press,community_centre,,,24.8521342,67.0155961,Religious & Community
Tahir Avenue,Tahir Avenue,community_centre,,,24.8520348,67.0156266,Religious & Community
The Smart School,The Smart School,school,,,24.909998,67.115869,Education
"Civil hospital, Karachi","Civil hospital, Karachi",hospital,,,24.8594455,67.0116782,Healthcare
NIBD Hospital,NIBD Hospital,hospital,,,24.8976232,67.0783887,Healthcare
SHAZZ super market,SHAZZ super market,,supermarket,,24.8972931,67.0790983,Shopping & Retail
Impressive computer academy,Impressive computer academy,school,,,24.9333127,67.1326355,Education
ahmed ka rent wala ghar,ahmed ka rent wala ghar,hunting_stand,,,24.9067103,67.0723649,Other / Unspecified
Muneeba View Apartment,Muneeba View Apartment,,,apartment,24.9072024,67.0710915,Accommodation
burns road,burns road,fast_food,,,24.8568754,67.0168321,Food & Dining
Petiwala Tajraan Kutub,Petiwala Tajraan Kutub,,books,,24.854303,67.0133004,Shopping & Retail
Hardware Market,ہارڈ ویئر مارکیٹ,,supermarket,,24.8624693,67.0141657,Shopping & Retail
Imtiaz Supermarket Qayyumabad,Imtiaz Supermarket Qayyumabad,,supermarket,,24.8310814,67.0802962,Shopping & Retail
Dow International Medical College,Dow International Medical College,college,,,24.9445105,67.1387174,Education
Electronic market,Electronic market,,supermarket,,24.8598967,67.0250374,Shopping & Retail
Askari Banquet & Lawns,Askari Banquet & Lawns,community_centre,,,24.8926485,67.0628249,Religious & Community
Techno city,Techno city,,mall,,24.8505797,67.007712,Shopping & Retail
Mak Coaching,Mak Coaching,school,,,24.9353012,67.0541305,Education
CNG Station,CNG Station,fuel,,,24.9356418,67.0543537,Transport & Vehicles
Hashmat Memorial School,Hashmat Memorial School,school,,,24.9366858,67.1037768,Education
Jama Masjid Abu Al-Alai,Jama Masjid Abu Al-Alai,place_of_worship,,,24.9381294,67.1050095,Religious & Community
Al Arabia,Al Arabia,place_of_worship,,,24.940037,67.1023012,Religious & Community
sm public academy,sm public academy,school,,,24.9391749,67.101345,Education
Merit n Merit,Merit n Merit,school,,,24.9380454,67.1022312,Education
Vikor enterprises (pvt) ltd.,Vikor enterprises (pvt) ltd.,,,artwork,24.8873754,66.9716123,Tourism & Landmarks
Tea Spot,Tea Spot,cafe,,,24.949777,67.0503533,Food & Dining
Nani House,Nani House,,,guest_house,24.8347149,67.1486661,Accommodation
Super Fire Works,Super Fire Works,,toys,,24.8676476,67.0297828,Other / Unspecified
Carnation banquet Hall,Carnation banquet Hall,community_centre,,,24.8653983,67.07933,Religious & Community
Sage banquet Hall,Sage banquet Hall,community_centre,,,24.8654997,67.0795962,Religious & Community
Cafe Pyala,Cafe Pyala,pub,,,24.9457368,67.0677358,Entertainment & Leisure
Virtual University Of Pakistan,Virtual University Of Pakistan,school,,,24.9415205,67.0458485,Education
Gohar Pride,Gohar Pride,,,artwork,24.9207484,67.1332806,Tourism & Landmarks
Total,ٹوٹل,fuel,,,24.8786376,67.022407,Transport & Vehicles
Pakistan Post Office,Pakistan Post Office,post_office,,,24.8787848,67.0225934,Services
Platinium Jamat Khana,Platinium Jamat Khana,place_of_worship,,,24.8845256,67.0260792,Religious & Community
Gole Market,Gole Market,,supermarket,,24.9145251,67.0242732,Shopping & Retail
Filli Tea cafe,Filli Tea cafe,cafe,,,24.8112003,67.0173907,Food & Dining
Faysal Bank Clifton Block 2,Faysal Bank Clifton Block 2,bank,,,24.8112773,67.0171841,Services
Habib Metropolitian Bank,Habib Metropolitian Bank,bank,,,24.8112572,67.0172899,Services
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8105834,67.0180544,Services
Bank Alfalah,بینک الفلاح,bank,,,24.8106299,67.0180759,Services
NIB,NIB,bank,,,24.8108233,67.0181551,Services
China Town Resturant,China Town Resturant,restaurant,,,24.8108892,67.0180925,Food & Dining
Dua Resturant,Dua Resturant,restaurant,,,24.8101359,67.0176332,Food & Dining
Bolan Resturant,Bolan Resturant,restaurant,,,24.8099367,67.0185689,Food & Dining
Jade Garden Resturant,Jade Garden Resturant,restaurant,,,24.8120472,67.016747,Food & Dining
Karachi Broast,Karachi Broast,fast_food,,,24.8118216,67.0172906,Food & Dining
Shell Express,Shell Express,fuel,,,24.8157667,67.0187935,Transport & Vehicles
Koyla Cafe,Koyla Cafe,cafe,,,24.8159652,67.018168,Food & Dining
Anjarwala Bakers,Anjarwala Bakers,,bakery,,24.8146493,67.0209243,Food & Dining
Liberty Book Store,Liberty Book Store,,books,,24.8157006,67.0215569,Shopping & Retail
BMI Physio,BMI Physio,doctors,,,24.8179543,67.0232691,Healthcare
Red Apple,Red Apple,fast_food,,,24.8116171,67.0184787,Food & Dining
MCB Bank,ایم سی بی بینک,bank,,,24.8146725,67.0198198,Services
Park Towers Food Court,Park Towers Food Court,food_court,,,24.8142489,67.0276502,Food & Dining
Zubaida Kids Store,Zubaida Kids Store,,clothes,,24.8212357,67.0346819,Shopping & Retail
Pizza Hut,Pizza Hut,restaurant,,,24.8178494,67.0396574,Food & Dining
New York Coffee,New York Coffee,cafe,,,24.8177641,67.0399202,Food & Dining
Buttlers Chocolate Cafe,Buttlers Chocolate Cafe,cafe,,,24.8171446,67.041009,Food & Dining
Ami Supermarket,Ami Supermarket,,supermarket,,24.8137847,67.0486284,Shopping & Retail
Meat One,Meat One,,butcher,,24.8135285,67.048231,Food & Dining
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8283035,67.0341218,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8268362,67.0346718,Services
Food Center Clifton,Food Center Clifton,restaurant,,,24.8264257,67.0343934,Food & Dining
Filli Tea Cafe,Filli Tea Cafe,cafe,,,24.827021,67.0355524,Food & Dining
Dunkin',Dunkin',fast_food,,,24.8274432,67.0359542,Food & Dining
Nando,Nando,restaurant,,,24.8272933,67.0244863,Food & Dining
Shell Express,Shell Express,fuel,,,24.8303343,67.0346524,Transport & Vehicles
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8080857,67.036603,Services
Pakistan State Oil - Tauheed Commercial,Pakistan State Oil - Tauheed Commercial,fuel,,,24.8079508,67.0368399,Transport & Vehicles
Movenpick Ice-cream Parl,Movenpick Ice-cream Parl,ice_cream,,,24.8063725,67.0393296,Food & Dining
Ideal Bakers,Ideal Bakers,,bakery,,24.8062887,67.0394741,Food & Dining
Parklane Hospital,Parklane Hospital,hospital,,,24.8167004,67.0314159,Healthcare
Parklane Pharmacy,Parklane Pharmacy,pharmacy,,,24.8167846,67.0312906,Healthcare
Car Deals,Car Deals,,car,,24.8255389,67.034896,Transport & Vehicles
Bata,Bata,,shoes,,24.8269105,67.0352501,Shopping & Retail
Service shoes,Service shoes,,shoes,,24.8266818,67.0352921,Shopping & Retail
The Palm,The Palm,community_centre,,,24.8044875,67.0279319,Religious & Community
Afridi Inn- Clifton 4,Afridi Inn- Clifton 4,restaurant,,,24.8032546,67.0302029,Food & Dining
Seaview Hotel,Seaview Hotel,,,hotel,24.8026402,67.0310723,Accommodation
Paramount Resturant,Paramount Resturant,restaurant,,,24.801174,67.0365253,Food & Dining
Cafe Clifton Tea,Cafe Clifton Tea,cafe,,,24.8015532,67.0368867,Food & Dining
California Pizza Kitchen,California Pizza Kitchen,restaurant,,,24.8018958,67.037204,Food & Dining
MCB Tower,MCB Tower,bank,,,24.8500137,67.0089467,Services
Uni Plaza,Uni Plaza,,mall,,24.850141700000002,67.0077676,Shopping & Retail
State Bank of Pakistan,State Bank of Pakistan,bank,,,24.8488457,66.9995595,Services
Bank Alfalah,بینک الفلاح,bank,,,24.8488603,67.0001302,Services
National Bank of Pakistan - I.I. Chundrigar Road,National Bank of Pakistan - I.I. Chundrigar Road,bank,,,24.8491817,67.0025148,Services
Pakistan Post,Pakistan Post,post_office,,,24.8503712,67.0127994,Services
Al-Falah,Al-Falah,bank,,,24.8122761,67.0187786,Services
Askari Bank,عسکری بینک,bank,,,24.8119598,67.0169816,Services
Saleeqa Houseware Store,Saleeqa Houseware Store,,houseware,,24.8120401,67.0184215,Other / Unspecified
Cafe Aylanto- Clifton 4,Cafe Aylanto- Clifton 4,restaurant,,,24.8040843,67.0312146,Food & Dining
Xanders- Clifton 4,Xanders- Clifton 4,restaurant,,,24.8037548,67.032638,Food & Dining
Cafe E Street,Cafe E Street,restaurant,,,24.8074221,67.0347031,Food & Dining
Cafe Flo,Cafe Flo,restaurant,,,24.8071438,67.0339346,Food & Dining
Head Start School,Head Start School,school,,,24.8091142,67.0347103,Education
Karachi Preschool,Karachi Preschool,kindergarten,,,24.8072924,67.0340256,Education
Zamzama Mall,Zamzama Mall,,mall,,24.8173049,67.0400288,Shopping & Retail
Domino's,Domino's,fast_food,,,24.8172067,67.0403439,Food & Dining
Soneri Bank- Zamzama,Soneri Bank- Zamzama,bank,,,24.8172356,67.0402511,Services
Nawab Mughlai Resturant- Zamzama,Nawab Mughlai Resturant- Zamzama,restaurant,,,24.8169575,67.043131,Food & Dining
Pantry- Zamzama,Pantry- Zamzama,restaurant,,,24.8182979,67.0394426,Food & Dining
Government Girls Degree College,Government Girls Degree College,college,,,24.8159583,67.0397454,Education
Dynasty Event Hall,Dynasty Event Hall,community_centre,,,24.8243199,67.0354584,Religious & Community
Arabian Nights,Arabian Nights,restaurant,,,24.825779,67.0341481,Food & Dining
Hush Puppies,Hush Puppies,,shoes,,24.8267967,67.0352727,Shopping & Retail
MCB,MCB,bank,,,24.8270901,67.0356195,Services
Chase,Chase,,department_store,,24.8275166,67.0366074,Other / Unspecified
Askari Bank,Askari Bank,bank,,,24.8262847,67.0354311,Services
Damascus,Damascus,restaurant,,,24.8259611,67.0359318,Food & Dining
Bayview Junior School,Bayview Junior School,school,,,24.8245438,67.0373332,Education
The Educators School,The Educators School,school,,,24.8253664,67.0414834,Education
Playland amusement park,Playland amusement park,,,theme_park,24.8104302,67.02911,Entertainment & Leisure
Bank Islami- Zamzama,Bank Islami- Zamzama,bank,,,24.8162933,67.0424604,Services
ChatterBox Cafe- Zamzama,ChatterBox Cafe- Zamzama,cafe,,,24.8172801,67.0422971,Food & Dining
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.807879,67.0373471,Services
Abdul Aziz Masjid,Abdul Aziz Masjid,place_of_worship,,,24.8120226,67.0503149,Religious & Community
Paras Art Shop,Paras Art Shop,,art,,24.8133804,67.0516485,Other / Unspecified
Pizza Point,Pizza Point,fast_food,,,24.8144018,67.0490736,Food & Dining
Rahat Milk Cornor,Rahat Milk Cornor,,dairy,,24.8141275,67.0489281,Food & Dining
Habib Metro Bank,Habib Metro Bank,bank,,,24.813945,67.048679,Services
Bank Al Habib,بينک الحبيب,bank,,,24.8133934,67.048187,Services
Hot n Spicy,Hot n Spicy,fast_food,,,24.813607,67.0492136,Food & Dining
Siam Express,Siam Express,restaurant,,,24.8118469,67.0501712,Food & Dining
La Farina Bakers,La Farina Bakers,,bakery,,24.8117695,67.0500999,Food & Dining
Agha Juice,Agha Juice,fast_food,,,24.8123479,67.0506747,Food & Dining
Faysal Bank,فیصل بینک,bank,,,24.8128315,67.0510146,Services
Bank Alfalah,بینک الفلاح,bank,,,24.8131145,67.0513212,Services
Lals Patisserie,Lals Patisserie,cafe,,,24.8081908,67.0615442,Food & Dining
Bella Vita,Bella Vita,restaurant,,,24.8076277,67.0610049,Food & Dining
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8077149,67.0622328,Services
Ginsoy,Ginsoy,restaurant,,,24.8075036,67.0608835,Food & Dining
Meatone,Meatone,,butcher,,24.8076388,67.0621787,Food & Dining
Meezan Bank,Meezan Bank,bank,,,24.8003394,67.0573124,Services
Caltex Pump,Caltex Pump,fuel,,,24.8580962,67.0489059,Transport & Vehicles
Restaurant Ka Mazza Lain,ریسٹورنٹ کا مزہ لیں,restaurant,,,24.7857163,67.0909581,Food & Dining
Samba Bank,Samba Bank,bank,,,24.8449809,66.997046,Services
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.8447629,66.9969897,Services
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.857058,67.0433194,Transport & Vehicles
Dunkin Donuts,ڈنکن ڈونٹس,fast_food,,,24.8103886,67.0701985,Food & Dining
Hunza Cafe,Hunza Cafe,cafe,,,24.8424221,67.0023801,Food & Dining
Soneri Bank Bharia Complex 3,Soneri Bank Bharia Complex 3,bank,,,24.8439472,67.0030269,Services
Arshi Shopping Centre,Arshi Shopping Centre,,mall,,24.9287496,67.0661786,Shopping & Retail
Summit Bank ATM,Summit Bank ATM,atm,,,24.8425355,67.0030548,Services
KPT Guest House,KPT Guest House,,,guest_house,24.8418527,67.0012495,Accommodation
Nehams Fastfood,Nehams Fastfood,fast_food,,,24.8439015,66.9961529,Food & Dining
Meezan Bank P.N.S.C Branch,Meezan Bank P.N.S.C Branch,bank,,,24.8447261,66.9949673,Services
NIB,NIB,bank,,,24.8441224,66.9930435,Services
Karoke Studio -Port Grand,Karoke Studio -Port Grand,bar,,,24.8441719,66.9906,Entertainment & Leisure
European Restaurant -Port Grand,European Restaurant -Port Grand,restaurant,,,24.8429211,66.9898616,Food & Dining
Gaffar Kabob House -Port Grand,Gaffar Kabob House -Port Grand,restaurant,,,24.8430519,66.9899207,Food & Dining
Bay Side Food Court -Port Grand,Bay Side Food Court -Port Grand,restaurant,,,24.8426208,66.989649,Food & Dining
Grand Pier -Port Grand,Grand Pier -Port Grand,restaurant,,,24.8423797,66.9895082,Food & Dining
Chai Shai -Port Grand,Chai Shai -Port Grand,cafe,,,24.8420632,66.9893064,Food & Dining
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8532083,66.9942776,Transport & Vehicles
Aga Khan School Kharadar,Aga Khan School Kharadar,school,,,24.8540859,66.996117,Education
Meezan Bank,میزان بینک,bank,,,24.8513851,66.9980728,Services
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8516614,66.998211,Services
Faysal Bank Cloth Market Branch,Faysal Bank Cloth Market Branch,bank,,,24.8515494,66.9982874,Services
Bank AlHabib Cloth Market Branch,Bank AlHabib Cloth Market Branch,bank,,,24.8515383,66.9986374,Services
Bank Alfallah Cloth Market Branch,Bank Alfallah Cloth Market Branch,bank,,,24.8507282,66.9981667,Services
Yaadgar Fried Fish,Yaadgar Fried Fish,fast_food,,,24.886001,67.0507366,Food & Dining
Usmania Hospital,Usmania Hospital,hospital,,,24.8868015,67.0533003,Healthcare
CNG,سی این جی,fuel,,,24.8839583,67.0481018,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9025116,67.030855,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9020647,67.0292754,Transport & Vehicles
PSO Car Wash,PSO Car Wash,car_wash,,,24.9024193,67.0307007,Transport & Vehicles
PSO Car Wash,PSO Car Wash,car_wash,,,24.9021416,67.0295318,Transport & Vehicles
Bata Shoe store,Bata Shoe store,,shoes,,24.8993958,67.0302643,Shopping & Retail
Service Shoes,Service Shoes,,shoes,,24.8994887,67.0302455,Shopping & Retail
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8999054,67.0305725,Services
Faysal Bank,فیصل بینک,bank,,,24.8956532,67.0304606,Services
Wazeer Patti Wala,Wazeer Patti Wala,clinic,,,24.8927191,67.0309852,Healthcare
Bank Al Habib,بينک الحبيب,bank,,,24.892013,67.031055,Services
National Bank,National Bank,bank,,,24.9021496,67.0298852,Services
Shell,شیل,fuel,,,24.9062772,67.0312699,Transport & Vehicles
Ryan CNG Station,Ryan CNG Station,fuel,,,24.9184086,67.0320539,Transport & Vehicles
Karachi X-ray,Karachi X-ray,clinic,,,24.9195806,67.0310217,Healthcare
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9249763,67.0311288,Transport & Vehicles
PSO Car Wash,PSO Car Wash,car_wash,,,24.9251554,67.0309469,Transport & Vehicles
Dil Pasand,Dil Pasand,,confectionery,,24.9261656,67.032188,Other / Unspecified
Meat One,Meat One,,butcher,,24.9265844,67.0326626,Food & Dining
Bata Shoe Store,Bata Shoe Store,,shoes,,24.9266418,67.0327114,Shopping & Retail
Quaid e Azam Rangers Public School & College,Quaid e Azam Rangers Public School & College,school,,,24.9297508,67.0309361,Education
Safi Hospital,Safi Hospital,hospital,,,24.9314545,67.0383043,Healthcare
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9407335,67.0012119,Transport & Vehicles
PSO Car Wash,PSO Car Wash,car_wash,,,24.9409688,67.0014068,Transport & Vehicles
Post Office,Post Office,post_office,,,24.9452985,67.0042043,Services
Qadri Fast Food,Qadri Fast Food,fast_food,,,24.8520058,66.9989674,Food & Dining
HabibMetro Bank,HabibMetro Bank,bank,,,24.8525871,67.000224,Services
Sarafa Bazar,Sarafa Bazar,marketplace,,,24.8537151,67.001376,Shopping & Retail
"Askari Bank Limited, Jodia Bazar Branch.","Askari Bank Limited, Jodia Bazar Branch.",bank,,,24.8534537,67.0010239,Services
JS Bank,جے ایس بینک,bank,,,24.8538142,67.0022323,Services
MCB Bank,ایم سی بی بینک,bank,,,24.8542835,67.0025314,Services
Joria Bazar,Joria Bazar,marketplace,,,24.8549981,67.0030725,Shopping & Retail
NIB,NIB,bank,,,24.8550572,67.001832,Services
BankIslami,بینک اسلامی,bank,,,24.8551755,67.0022866,Services
Summit Bank,سمٹ بینک,bank,,,24.8553931,67.0017823,Services
Saudi Pak Bank,Saudi Pak Bank,bank,,,24.8547454,67.0019312,Services
Soneri Bank Limited,Soneri Bank Limited,bank,,,24.8547853,67.0015517,Services
Meezan bank,Meezan bank,bank,,,24.8553862,67.0010112,Services
Muhammadi,Muhammadi,place_of_worship,,,24.8537966,66.9992745,Religious & Community
Rangoli Resturant,Rangoli Resturant,restaurant,,,24.8873818,67.0895458,Food & Dining
Kundan Broast,Kundan Broast,fast_food,,,24.8830176,67.0903745,Food & Dining
Merath Kebabs,Merath Kebabs,restaurant,,,24.8830479,67.0903475,Food & Dining
Caltex Petrol Pump,Caltex Petrol Pump,fuel,,,24.8886951,67.0607136,Transport & Vehicles
New Town Police Station,New Town Police Station,police,,,24.8888121,67.0604742,Services
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8913416,67.0807186,Transport & Vehicles
McDonald's,مکڈونلڈز,fast_food,,,24.8914386,67.0809496,Food & Dining
Time Medico,Time Medico,pharmacy,,,24.8914884,67.0811189,Healthcare
Kagzi Bazar,Kagzi Bazar,marketplace,,,24.8542496,66.9992624,Shopping & Retail
New Quetta al-Hafiz Restaurant,New Quetta al-Hafiz Restaurant,restaurant,,,24.8487612,66.9954154,Food & Dining
Allied Bank Limited,الائیڈ بینک لمیٹڈ,bank,,,24.8488621,66.9959043,Services
Allied Bank ATM,Allied Bank ATM,atm,,,24.8486723,66.9959767,Services
Zubaida Medical Hospital,Zubaida Medical Hospital,hospital,,,24.883327,67.0822341,Healthcare
Chase Up Jail Chowrangi Branch,Chase Up Jail Chowrangi Branch,,supermarket,,24.8843596,67.0569033,Shopping & Retail
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8839938,67.0554236,Transport & Vehicles
PSO Car Wash,PSO Car Wash,car_wash,,,24.8839321,67.0553211,Transport & Vehicles
Medicare Cardiac & General Hospital,Medicare Cardiac & General Hospital,hospital,,,24.8809599,67.0635735,Healthcare
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8732359,67.0486796,Transport & Vehicles
CNG,سی این جی,fuel,,,24.8882558,67.0317882,Transport & Vehicles
Allah Wali,Allah Wali,place_of_worship,,,24.8887721,67.0316214,Religious & Community
Noman,Noman,place_of_worship,,,24.8874509,67.0335238,Religious & Community
Mr Burger,Mr Burger,fast_food,,,24.9015136,67.0291531,Food & Dining
Bank Al Habib,بينک الحبيب,bank,,,24.9014661,67.0294056,Services
Fancy Lawn,Fancy Lawn,community_centre,,,24.9019465,67.0260362,Religious & Community
Lamcy Lawn,Lamcy Lawn,community_centre,,,24.901984,67.025747,Religious & Community
Mini Market,Mini Market,,convenience,,24.9008417,67.030113,Shopping & Retail
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9036076,67.0171315,Transport & Vehicles
Bank Al Habib,بينک الحبيب,bank,,,24.903108,67.0177761,Services
Honda Site,Honda Site,,car,,24.9067884,67.0158159,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.9117913,67.0140423,Transport & Vehicles
METRO Supermarket,METRO Supermarket,,supermarket,,24.9197091,67.0149476,Shopping & Retail
Byco Petrol Station and CNG,Byco Petrol Station and CNG,fuel,,,24.9190239,67.0142883,Transport & Vehicles
Toyota Clifton Motors,Toyota Clifton Motors,,car,,24.809871,67.033222,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8657451,67.0802111,Transport & Vehicles
Honda Defence,Honda Defence,,car,,24.8312646,67.0809597,Transport & Vehicles
Al Arab Shawarma,Al Arab Shawarma,fast_food,,,24.8838022,67.0649733,Food & Dining
Honda Drive In Showroom,Honda Drive In Showroom,,car,,24.9033585,67.1140588,Transport & Vehicles
Hina Garden,Hina Garden,,,apartment,24.9035688,67.1148334,Accommodation
Lasania Resturant,Lasania Resturant,restaurant,,,24.9076307,67.1093462,Food & Dining
Drive-In Wedding Hall,Drive-In Wedding Hall,community_centre,,,24.9019348,67.1114043,Religious & Community
Total,ٹوٹل,fuel,,,24.8205224,67.0338808,Transport & Vehicles
Shell Convenience Store,Shell Convenience Store,,convenience,,24.8294707,67.0525103,Shopping & Retail
Shell Car Wash,Shell Car Wash,car_wash,,,24.8296406,67.0527261,Transport & Vehicles
BankIslami,BankIslami,bank,,,24.8642374,67.0762716,Services
Summit Bank,سمٹ بینک,bank,,,24.8654931,67.0773793,Services
Bank of Khyber,Bank of Khyber,bank,,,24.8659287,67.0787016,Services
Mirch Masala,Mirch Masala,restaurant,,,24.8659465,67.0808729,Food & Dining
Habib Metro,Habib Metro,bank,,,24.8661648,67.0794321,Services
Silkbank,Silkbank,bank,,,24.8658622,67.0805515,Services
Shell Car Care,Shell Car Care,car_wash,,,24.8658268,67.0777975,Transport & Vehicles
National Saving Centre,National Saving Centre,bank,,,24.8670318,67.0813852,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8671097,67.0819109,Services
Tameer Microfinance Bank - Head Office,Tameer Microfinance Bank - Head Office,bank,,,24.8674176,67.0813729,Services
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8672108,67.0823225,Services
Siddiq Mosque,Siddiq Mosque,place_of_worship,,,24.8666863,67.0838931,Religious & Community
Baloch Hotel,Baloch Hotel,,,hotel,24.8668602,67.0837133,Accommodation
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8676851,67.0833138,Services
Preston University,Preston University,university,,,24.8678908,67.0851644,Education
Honda Shahrah e Faisal,Honda Shahrah e Faisal,,car,,24.8681391,67.0855453,Transport & Vehicles
BMW Charging Station,BMW Charging Station,charging_station,,,24.8689756,67.0869656,Transport & Vehicles
Blue Moon Banquet,Blue Moon Banquet,community_centre,,,24.8694116,67.0877512,Religious & Community
Carachi Motors Suzuki,Carachi Motors Suzuki,,car,,24.8696453,67.0880767,Transport & Vehicles
Toyota Central Motors,Toyota Central Motors,,car,,24.8701057,67.0888007,Transport & Vehicles
National Bank of Pakistan,نیشنل بینک آف پاکستان,bank,,,24.8707234,67.090038,Services
City Center Shopping Mall,City Center Shopping Mall,,mall,,24.8712183,67.090615,Shopping & Retail
NIB,NIB,bank,,,24.8707022,67.0902906,Services
Majistic Banquet Hall,Majistic Banquet Hall,community_centre,,,24.8723002,67.0911238,Religious & Community
Chaupal Restaurant,Chaupal Restaurant,restaurant,,,24.8745668,67.0943188,Food & Dining
Rosati Bistro,Rosati Bistro,restaurant,,,24.8747907,67.0946917,Food & Dining
Block 2 old Market,Block 2 old Market,marketplace,,,24.8770549,67.1009318,Shopping & Retail
Jama Masjid Diyar E Habib,Jama Masjid Diyar E Habib,place_of_worship,,,24.8773396,67.10201,Religious & Community
Shell,شیل,fuel,,,24.8805185,67.1088418,Transport & Vehicles
Bakri Petrol Station,Bakri Petrol Station,fuel,,,24.8807124,67.1102746,Transport & Vehicles
Total,ٹوٹل,fuel,,,24.880982500000002,67.1107039,Transport & Vehicles
HBL ATM,HBL ATM,atm,,,24.8808676,67.1108707,Services
Faw Apollo Motors,Faw Apollo Motors,,car,,24.8810671,67.1112167,Transport & Vehicles
Suzuki Motors,Suzuki Motors,,car,,24.8816578,67.1119002,Transport & Vehicles
Pakistan State Oil,پاکستان اسٹیٹ آئل,fuel,,,24.8822543,67.1129113,Transport & Vehicles
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8822689,67.1133115,Services
Sigma Motors Limited,Sigma Motors Limited,,car,,24.8827774,67.1138061,Transport & Vehicles
Hascol 1 Petrol Station,Hascol 1 Petrol Station,fuel,,,24.8828314,67.1140279,Transport & Vehicles
Summit Bank ATM,Summit Bank ATM,atm,,,24.8826388,67.1143174,Services
Pakistan Post Office,Pakistan Post Office,post_office,,,24.8840853,67.1165881,Services
Shell Petrol Station - Drigh Road,Shell Petrol Station - Drigh Road,fuel,,,24.885992,67.1221373,Transport & Vehicles
Jamia Masjid,جامع مسجد,place_of_worship,,,24.8872985,67.1271946,Religious & Community
Jamia Masjid Hanafia,جامع مسجد حنفیہ,place_of_worship,,,24.8859603,67.126905,Religious & Community
BYCO Petrol Station,BYCO Petrol Station,fuel,,,24.8869448,67.1294196,Transport & Vehicles
Jamia Masjid Bilal,Jamia Masjid Bilal,place_of_worship,,,24.8862993,67.1306225,Religious & Community
Noori Masjid,نوری مسجد,place_of_worship,,,24.8855438,67.1331374,Religious & Community
Shri Ram Dev Shiv Santosh Mandir,شری رام دیو شیو سنتوش مندر,place_of_worship,,,24.8852895,67.1323633,Religious & Community
Jamia Masjid Qasmia Ferozia,Jamia Masjid Qasmia Ferozia,place_of_worship,,,24.8852829,67.1377813,Religious & Community
Natha Khan Eid Prayer Ground,Natha Khan Eid Prayer Ground,place_of_worship,,,24.8874037,67.1378236,Religious & Community
National Saving Center,National Saving Center,bank,,,24.8839131,67.1402919,Services
HBL Pakistan,ایچ بی ایل پاکستان,bank,,,24.8833559,67.1401148,Services
Bank Al Habib,بينک الحبيب,bank,,,24.8830269,67.1398692,Services
A 1 Briyani Center,A 1 Briyani Center,restaurant,,,24.8851475,67.1400027,Food & Dining
Jamia Masjid Humza,Jamia Masjid Humza,place_of_worship,,,24.8850428,67.1401792,Religious & Community
Dubai Islamic Bank,دبئی اسلامی بینک,bank,,,24.8854345,67.1399941,Services
United Bank Limited,یونائیٹڈ بینک لمیٹڈ,bank,,,24.8854905,67.1398332,Services
Total,ٹوٹل,fuel,,,24.8865708,67.142392,Transport & Vehicles
